,datetime,next_change_id
0,2019-09-06 20:00:00,477046215-493655725-466123973-533052885-506495430
1,2019-09-06 21:17:04,477097017-493708693-466167066-533102671-506542166
2,2019-09-06 22:04:36,477097366-493708856-466167244-533102762-506542346
3,2019-09-06 23:00:15,477150173-493820607-466222849-533167323-506606601
4,2019-09-07 00:01:09,477182909-493846799-466247281-533197668-506631136
5,2019-09-07 01:00:00,477205867-493854360-466254391-533225169-506631136
6,2019-09-07 01:59:59,477241742-493892428-466288441-533251738-506688371
7,2019-09-07 02:59:59,477271296-493923299-466314705-533279550-506724376
8,2019-09-07 03:59:59,477304238-493948601-466337213-533306642-506752666
9,2019-09-07 04:59:59,477331570-493974318-466360788-533336381-506769827
10,2019-09-07 06:00:00,477360399-493999120-466387664-533364623-506807551
11,2019-09-07 06:59:59,477392946-494025884-466415992-533399051-506836965
12,2019-09-07 08:00:00,477418258-494047166-466440556-533431923-506851476
13,2019-09-07 09:00:00,477418258-494047166-466440556-533468270-506851476
14,2019-09-07 10:00:00,477418258-494047194-466440556-533514782-506851476
15,2019-09-07 11:00:00,477418258-494146236-466440556-533555650-506851476
16,2019-09-07 12:00:00,477621156-494173808-466609310-533592556-507004144
17,2019-09-07 13:00:00,477661975-494216233-466649465-533631892-507043400
18,2019-09-07 14:02:00,477704304-494262736-466693034-533674168-507087865
19,2019-09-07 15:00:00,477752344-494303491-466734518-533717464-507120895
20,2019-09-07 16:00:00,477760622-494346358-466772839-533766375-507120895
21,2019-09-07 17:00:00,477760622-494390188-466772839-533816315-507120895
22,2019-09-07 18:00:00,477880063-494432640-466857798-533869564-507276156
23,2019-09-07 19:00:00,477923096-494474140-466899908-533921156-507328544
24,2019-09-07 20:00:00,477966040-494516433-466941618-533967516-507383050
25,2019-09-07 21:00:00,478016842-494569401-466984711-534017302-507429786
26,2019-09-07 22:00:00,478055352-494606622-467019336-534061407-507469389
27,2019-09-07 23:00:00,478093017-494655790-467059088-534112691-507510685
28,2019-09-08 00:00:00,478130952-494693537-467091566-534151372-507547122
29,2019-09-08 01:00:00,478167771-494730325-467124738-534191092-507583791
30,2019-09-08 02:00:00,478200751-494761108-467161020-534223889-507616269
31,2019-09-08 03:00:00,478236252-494795450-467192981-534262867-507679544
32,2019-09-08 04:00:00,478270913-494830051-467224093-534298287-507737356
33,2019-09-08 05:00:00,478307290-494864511-467256624-534334651-507774149
34,2019-09-08 06:00:00,478345629-494901510-467293420-534378874-507811642
35,2019-09-08 07:00:00,478386246-494958964-467330938-534419779-507850667
36,2019-09-08 08:00:00,478429139-495010563-467370634-534466169-507895094
37,2019-09-08 09:00:00,478475208-495060430-467414915-534515382-507946274
38,2019-09-08 10:00:00,478523954-495107334-467474823-534568174-508005644
39,2019-09-08 11:00:00,478576734-495158535-467522261-534624599-508072390
40,2019-09-08 12:00:00,478627994-495212253-467571592-534692329-508127190
41,2019-09-08 13:00:00,478695116-495267113-467622684-534781988-508184622
42,2019-09-08 14:00:00,478754967-495325388-467679618-534870043-508244004
43,2019-09-08 15:00:00,478824413-495388543-467737491-534961135-508307892
44,2019-09-08 16:00:00,478889480-495453992-467795870-535029111-508373452
45,2019-09-08 17:00:00,478950112-495512666-467853759-535092881-508433568
46,2019-09-08 18:00:00,479005635-495569610-467907792-535166443-508490270
47,2019-09-08 19:00:00,479061692-495627832-467964842-535226071-508547307
48,2019-09-08 20:00:00,479116585-495691280-468017010-535283729-508602284
49,2019-09-08 21:00:00,479168331-495743632-468067704-535340868-508664841
50,2019-09-08 22:00:00,479216327-495791645-468113219-535392190-508718794
51,2019-09-08 23:00:00,479257588-495834851-468152797-535440948-508765743
52,2019-09-09 00:00:00,479294750-495873467-468188871-535484007-508821322
53,2019-09-09 01:00:00,479329491-495908362-468223092-535523639-508856371
54,2019-09-09 02:00:00,479363069-495945349-468256136-535561344-508894632
55,2019-09-09 03:00:00,479396980-495982355-468289037-535600438-508928777
56,2019-09-09 04:00:00,479430436-496015200-468323848-535637733-508961455
57,2019-09-09 05:00:00,479463398-496047829-468355519-535673700-508995114
58,2019-09-09 06:00:00,479493665-496078879-468387722-535710392-509027635
59,2019-09-09 07:00:00,479526865-496110110-468419523-535750262-509061676
60,2019-09-09 08:00:00,479562764-496143883-468452698-535786523-509095820
61,2019-09-09 09:00:00,479600605-496180034-468490056-535825335-509130735
62,2019-09-09 10:00:00,479641091-496218404-468527661-535865386-509168495
63,2019-09-09 11:00:01,479682002-496258776-468568753-535908808-509217538
64,2019-09-09 12:00:00,479724888-496302594-468611407-535956488-509267783
65,2019-09-09 13:00:00,479782789-496351246-468657018-536017122-509317328
66,2019-09-09 14:00:00,479836064-496403516-468706664-536073777-509370822
67,2019-09-09 15:00:00,479888735-496458336-468761627-536131916-509427334
68,2019-09-09 16:00:00,479942813-496512029-468825793-536190145-509484268
69,2019-09-09 17:00:00,479997316-496565926-468878592-536251303-509539157
70,2019-09-09 18:00:00,480050990-496618300-468929124-536311934-509592784
71,2019-09-09 19:00:00,480108404-496669780-468981169-536367160-509647803
72,2019-09-09 20:00:00,480161945-496722029-469029692-536421323-509700087
73,2019-09-09 21:00:01,480209354-496771954-469076956-536473379-509751105
74,2019-09-09 22:00:00,480252656-496816506-469117847-536521118-509799384
75,2019-09-09 23:00:00,480294948-496856932-469153106-536562307-509853057
76,2019-09-10 00:00:00,480327869-496892846-469185648-536600348-509889240
77,2019-09-10 01:00:00,480360896-496926712-469217733-536637392-509925226
78,2019-09-10 02:00:00,480394678-496959704-469254209-536674471-509959610
79,2019-09-10 03:00:00,480435215-496992355-469286748-536711070-509994501
80,2019-09-10 04:00:00,480451678-497006448-469301903-536726547-510009107
81,2019-09-10 05:00:00,480466938-497028565-469322174-536749302-510028456
82,2019-09-10 06:00:00,480502604-497059018-469351451-536783177-510064402
83,2019-09-10 07:00:00,480533728-497089494-469383440-536822851-510098462
84,2019-09-10 08:00:00,480568023-497123414-469419022-536859445-510132890
85,2019-09-10 09:00:01,480604011-497160858-469455943-536900213-510170672
86,2019-09-10 10:00:00,480638333-497195000-469489243-536937307-510206457
87,2019-09-10 11:00:01,480676986-497234450-469528110-536979765-510247632
88,2019-09-10 12:00:00,480719988-497278568-469570817-537020612-510295946
89,2019-09-10 13:00:00,480767301-497325329-469615676-537076715-510341289
90,2019-09-10 14:00:00,480818398-497376736-469664546-537132554-510398816
91,2019-09-10 15:00:00,480871876-497432464-469716093-537190423-510455835
92,2019-09-10 16:00:01,480924635-497489444-469766060-537249342-510513993
93,2019-09-10 17:00:00,480976969-497541506-469817426-537311091-510569273
94,2019-09-10 18:00:01,481027924-497603000-469867292-537371610-510622496
95,2019-09-10 19:00:00,481080957-497658968-469916607-537426715-510675145
96,2019-09-10 20:00:00,481132790-497709088-469965194-537480329-510728989
97,2019-09-10 21:00:00,481181327-497757883-470010751-537533460-510777596
98,2019-09-10 22:00:00,481222716-497801354-470050723-537581434-510823082
99,2019-09-10 23:00:00,481259976-497840681-470087125-537623361-510863210
100,2019-09-11 00:00:00,481293668-497877068-470119954-537662274-510899526
101,2019-09-11 01:00:00,481328368-497913329-470152702-537699298-510934149
102,2019-09-11 02:00:00,481361092-497952798-470186263-537735803-510978054
103,2019-09-11 03:00:00,481393947-497989967-470218399-537776049-511012148
104,2019-09-11 04:00:00,481428033-498023451-470252420-537812206-511051774
105,2019-09-11 05:00:00,481461839-498057526-470287339-537847662-511084415
106,2019-09-11 06:00:00,481495964-498091462-470320490-537882623-511117235
107,2019-09-11 07:00:00,481530160-498123905-470354073-537917624-511149834
108,2019-09-11 08:00:00,481566530-498158579-470389466-537954413-511184241
109,2019-09-11 09:00:00,481602445-498194064-470423499-537995099-511220300
110,2019-09-11 10:00:00,481640198-498230481-470460504-538036574-511257989
111,2019-09-11 11:00:00,481679289-498269364-470496716-538077519-511298620
112,2019-09-11 12:00:00,481740455-498312763-470536537-538124592-511341322
113,2019-09-11 13:00:00,481787652-498359224-470581342-538187526-511388594
